984	45373
968	45374
1008	45375
1024	45376
960	45377
1040	45378
1008	45379
968	45380
992	45381
1000	45382
984	45383
976	45384
1016	45385
984	45386
1024	45387
976	45388
1000	45389
992	45390
952	45391
1000	45392
1000	45393
960	45394
984	45395
1016	45396
992	45397
984	45398
1024	45399
992	45400
1024	45401
984	45402
1008	45403
1016	45404
968	45405
1008	45406
1008	45407
968	45408
968	45409
1008	45410
976	45411
984	45412
984	45413
992	45414
1008	45415
976	45416
1008	45417
1024	45418
968	45419
1024	45420
1016	45421
960	45422
1008	45423
1000	45424
968	45425
976	45426
1008	45427
984	45428
984	45429
1032	45430
992	45431
1016	45432
992	45433
1000	45434
1024	45435
992	45436
1000	45437
1024	45438
1000	45439
984	45440
1024	45441
984	45442
1008	45443
1000	45444
984	45445
1008	45446
984	45447
992	45448
1008	45449
1008	45450
968	45451
1032	45452
992	45453
968	45454
976	45455
992	45456
960	45457
960	45458
960	45459
976	45460
984	45461
984	45462
944	45463
1000	45464
984	45465
936	45466
1000	45467
992	45468
968	45469
984	45470
1016	45471
992	45472
1000	45473
1032	45474
1008	45475
1024	45476
1000	45477
1024	45478
1040	45479
1000	45480
1104	45481
1032	45482
1064	45483
1032	45484
1032	45485
1072	45486
1008	45487
1064	45488
1048	45489
1024	45490
1024	45491
1024	45492
1024	45493
1008	45494
1024	45495
1040	45496
1000	45497
1000	45498
1024	45499
1024	45500
968	45501
1040	45502
1000	45503
976	45504
1008	45505
992	45506
1000	45507
1008	45508
1016	45509
984	45510
1008	45511
968	45512
1008	45513
1016	45514
984	45515
984	45516
1024	45517
984	45518
1016	45519
1008	45520
984	45521
992	45522
976	45523
984	45524
1000	45525
1016	45526
976	45527
1064	45528
1000	45529
976	45530
1024	45531
984	45532
1000	45533
984	45534
1000	45535
1000	45536
1040	45537
976	45538
1056	45539
1016	45540
1008	45541
1008	45542
1008	45543
992	45544
960	45545
1008	45546
984	45547
984	45548
960	45549
1000	45550
1016	45551
976	45552
1000	45553
1008	45554
960	45555
968	45556
928	45557
848	45558
832	45559
840	45560
848	45561
864	45562
840	45563
816	45564
840	45565
856	45566
856	45567
888	45568
864	45569
896	45570
912	45571
936	45572
936	45573
936	45574
928	45575
952	45576
952	45577
952	45578
1000	45579
984	45580
992	45581
1008	45582
1000	45583
1000	45584
984	45585
1016	45586
1000	45587
992	45588
1040	45589
1008	45590
976	45591
1048	45592
1016	45593
968	45594
1056	45595
984	45596
952	45597
1024	45598
984	45599
976	45600
1008	45601
992	45602
1008	45603
984	45604
1024	45605
1000	45606
976	45607
1000	45608
1000	45609
976	45610
976	45611
1008	45612
1024	45613
976	45614
1088	45615
